id,login,display_name,type,broadcaster_type,description,profile_image_url,offline_image_url,view_count,created_at
50985620,papaplatte,Papaplatte,,partner,MOOOOOOOOOOOOOOOOIN MEISTER | Business Email: business@papaplatte.de,https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/adb44e1d-0dfe-43a2-9c59-7164c2f4e907-channel_offline_image-1920x1080.jpeg,58661739,2013-11-02T13:29:45.701942Z
84432477,swaggersouls,SwaggerSouls,,partner,"Part time idiot, full time sexy hunk of man.",https://static-cdn.jtvnw.net/jtv_user_pictures/92823118-9c3f-4325-bf37-0ddfda074f2c-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/bb6a77b6-209c-4cd5-aa61-0ddfbfecdeb8-channel_offline_image-1920x1080.png,6909783,2015-03-05T17:36:47.843976Z
3389768,philza,Philza,,partner,"Howdy :) - Name's Phil (aka Ph1LzA) & I'm that ""maniac"" of a Minecraft player you may or may not have heard of who plays Hardcore mode Survival. Welcome :D",https://static-cdn.jtvnw.net/jtv_user_pictures/0c784204-f3aa-454f-aacc-8e304a6afc72-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/aea7dd1f-7207-48be-81a3-f22b87dd1e38-channel_offline_image-1920x1080.png,17057440,2009-01-11T15:17:35.690719Z
84110474,pink_sparkles,Pink_Sparkles,,partner,"Variety Streamer, Fitness Enthusiast, Food lover",https://static-cdn.jtvnw.net/jtv_user_pictures/0bf80450-95cb-4563-86c4-aade8f47cd36-profile_image-300x300.jpg,https://static-cdn.jtvnw.net/jtv_user_pictures/33ee80d1-c512-48c4-9b0b-30cfa37e6290-channel_offline_image-1920x1080.jpeg,31174457,2015-03-01T14:50:18.060761Z
27686136,sivhd,SivHD,,partner,Siv from League of Legends.,https://static-cdn.jtvnw.net/jtv_user_pictures/a0732bbd-393f-4a16-bbe0-ac10a16b69df-profile_image-300x300.png,,42047020,2012-01-23T08:27:13.559934Z
101868523,ixxyjyxxi,ixxYjYxxi,,partner,,https://static-cdn.jtvnw.net/jtv_user_pictures/9b7b5036-9210-41a9-a078-522952fb6c1d-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/0806eb353cbd17fd-channel_offline_image-1920x1080.png,7881819,2015-09-10T11:37:31.373384Z
100484450,stpeach,STPeach,,partner,Streamer from Canada Living in Cali  ^_^ ,https://static-cdn.jtvnw.net/jtv_user_pictures/f8b8c774-e34d-40d9-ba21-9a81cfda73aa-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/47385bfd-223f-4bc3-8e74-19a967b13eea-channel_offline_image-1920x1080.png,37814648,2015-08-24T19:15:07.212406Z
19070311,a_seagull,A_Seagull,,partner,COMPETITIVE GAMING ENTHUSIAST,https://static-cdn.jtvnw.net/jtv_user_pictures/a_seagull-profile_image-4d2d235688c7dc66-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/f755a397-2b1c-45d8-a418-8893c6811755-channel_offline_image-1920x1080.png,43320991,2010-12-28T13:01:21.243599Z
41719107,zerator,ZeratoR,,partner,Entrepreneur - Twitch partner - CEO @Unexpected_Fr - Casu à mon grand dam mais j'organise des trucs. - contact : @tpdach or dach@zerator.tv,https://static-cdn.jtvnw.net/jtv_user_pictures/599b546a-c27f-4684-93ff-5eeecd01fb2b-profile_image-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/ea5ccb61-1bc8-44bd-9840-4f24489b3126-channel_offline_image-1920x1080.jpeg,112057397,2013-03-25T23:44:28.227952Z
9679595,grimmmz,Grimmmz,,partner,Just an all around gamer enjoying all the newest titles/consoles...oh and i love fighting games. WELCOME!,https://static-cdn.jtvnw.net/jtv_user_pictures/grimmmz-profile_image-b6c4dd27a4b900a3-300x300.png,https://static-cdn.jtvnw.net/jtv_user_pictures/8f1a17ab41b96fae-channel_offline_image-1920x1080.png,56634492,2009-12-31T07:57:05.809219Z
